civil,doppelganger,dificultad
cortina,persiana,medio
lámpara,velador,medio
puerta,ventana,medio
cocina,comedor,medio
baño,ducha,medio
garaje,cochera,medio
natación,remo,medio
tenis,pádel,medio
básquet,handball,medio
boxeo,artes marciales,medio
ciclismo,atletismo,medio
pesca,caza,medio
ajedrez,damas,medio
festival,recital,medio
locro,guiso norteño,medio
humita,tamale,medio
chipa,chipa guazú,medio
matambre,peceto,medio
provoleta,queso a la parrilla,medio
chimichurri,salsa criolla,medio
quincho,asador,medio
fernet,aperitivo amargo,medio
estancia,campo,medio
boleadoras,lazo,medio
hornero,benteveo,medio
yarará,cascabel,medio
yacaré,caimán,medio
puma,yaguareté,medio
quebracho,algarrobo colorado,medio
yerba mate,yerba compuesta,medio
bombilla,pitillo,medio
payada,contrapunto,medio
cumbia,cuarteto,medio
chamamé,polca correntina,medio
Litoral,Mesopotamia,medio
NOA,Puna,medio
Cuyo,región andina,medio
NEA,Noreste argentino,medio
Gauchito Gil,Difunta Correa,medio
democracia,república,dificil
dictadura,autoritarismo,dificil
socialismo,comunismo,dificil
capitalismo,liberalismo,dificil
inflación,devaluación,dificil
recesión,depresión económica,dificil
presupuesto,balance fiscal,dificil
deuda pública,deuda externa,dificil
impuesto,arancel,dificil
subsidio,transferencia social,dificil
privatización,estatización,dificil
sindicato,gremio,dificil
huelga,paro activo,dificil
referéndum,plebiscito,dificil
constitución,estatuto,dificil
átomo,molécula,dificil
ADN,ARN,dificil
célula,tejido,dificil
ecosistema,bioma,dificil
fotosíntesis,respiración celular,dificil
evolución,adaptación,dificil
inteligencia artificial,machine learning,dificil
ciberseguridad,privacidad digital,dificil
blockchain,criptomoneda,dificil
energía nuclear,fisión atómica,dificil
astronomía,astrofísica,dificil
neurociencia,psicología cognitiva,dificil
biotecnología,ingeniería genética,dificil
nanotecnología,materiales avanzados,dificil
revolución industrial,revolución digital,dificil
existencialismo,nihilismo,dificil
empirismo,racionalismo,dificil
utopía,distopía,dificil
renacimiento,barroco,dificil
romanticismo,realismo,dificil
vanguardismo,modernismo,dificil
surrealismo,dadaísmo,dificil
realismo mágico,literatura fantástica,dificil
épica,tragedia,dificil
sátira,parodia,dificil
metáfora,alegoría,dificil
ética,moral,dificil
estética,poética,dificil
semiótica,lingüística,dificil
dialéctica,retórica,dificil
derechos humanos,libertades civiles,dificil
feminismo,equidad de género,dificil
globalización,mundialización,dificil
migraciones,diáspora,dificil
urbanización,suburbanización,dificil
laicismo,clericalismo,dificil
corrupción,nepotismo,dificil
transparencia,rendición de cuentas,dificil
poder judicial,poder ejecutivo,dificil
federalismo,centralismo,dificil
autonomía,soberanía,dificil
tratado,convenio,dificil
protocolo,acuerdo internacional,dificil
patrimonio cultural,identidad nacional,dificil
secularización,modernización,dificil
cambio climático,calentamiento global,dificil
biodiversidad,diversidad biológica,dificil
deforestación,desertificación,dificil
contaminación,polución,dificil
humedal,área protegida,dificil
especie endémica,especie invasora,dificil
corriente marina,marea,dificil
capa de ozono,efecto invernadero,dificil
sequía,inundación,dificil
terremoto,tsunami,dificil
jerga,argot,dificil
eufemismo,disfemismo,dificil
neologismo,arcaísmo,dificil
semántica,pragmática,dificil
acento,entonación,dificil
peronismo,movimiento nacional,dificil
radicalismo,desarrollismo,dificil
Convertibilidad,Plan Austral,dificil
corralito,cepo cambiario,dificil
obra social,prepaga,dificil
CONICET,INTA,dificil
INVAP,CNEA,dificil
ARSAT,satélite geoestacionario,dificil
lunfardo,vesre,dificil
voseo,tuteo,dificil
Martín Fierro,Santos Vega,dificil
Don Segundo Sombra,Facundo,dificil
Borges,Cortázar,dificil
Charly García,Luis Alberto Spinetta,dificil
Soda Stereo,Los Redonditos de Ricota,dificil
Newell's Old Boys,Club Atlético Colón,dificil
Talleres de Córdoba,Belgrano de Córdoba,dificil
desaparecidos,detenidos políticos,dificil
Malvinas,islas del Atlántico Sur,dificil
Nahuel Huapi,Lago Argentino,dificil
iberá,esteros del Paraná,dificil
puna,prepuna,dificil
quebrada de Humahuaca,valles calchaquíes,dificil
Ceferino Namuncurá,Mama Antula,dificil
Gauchito Gil,San La Muerte,dificil
